label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Bad Laer,Bad Laer,03459005,Bad Laer,Niedersachsen,Osnabrück
Bad Langensalza,Bad Langensalza,16064003,Bad Langensalza,Thüringen,Unstrut-Hainich-Kreis
Bad Lauchstädt,Bad Lauchstädt,15088025,Bad Lauchstädt,Sachsen-Anhalt,Saalekreis
Bad Lausick,Bad Lausick,14729010,Bad Lausick,Sachsen,Leipzig
Bad Lauterberg,Bad Lauterberg,03159003,Bad Lauterberg im Harz,Niedersachsen,Göttingen
Bad Liebenwerda,Bad Liebenwerda,12062024,Bad Liebenwerda,Brandenburg,Elbe-Elster
Bad Lippspringe,Bad Lippspringe,05774008,Bad Lippspringe,Nordrhein-Westfalen,Paderborn
Bad Mergentheim,Bad Mergentheim,08128007,Bad Mergentheim,Baden-Württemberg,Main-Tauber-Kreis
Bad Münder,Bad Münder,03252002,Bad Münder am Deister,Niedersachsen,Hameln-Pyrmont
Bad Nenndorf,Bad Nenndorf,03257006,Bad Nenndorf,Niedersachsen,Schaumburg
Bad Oeynhausen,Bad Oeynhausen,05770004,Bad Oeynhausen,Nordrhein-Westfalen,Minden-Lübbecke
Bad Oldesloe,Bad Oldesloe,01062004,Bad Oldesloe,Schleswig-Holstein,Stormarn
Bad Pyrmont,Bad Pyrmont,03252003,Bad Pyrmont,Niedersachsen,Hameln-Pyrmont
Bad Rippoldsau-Schapbach,Bad Rippoldsau-Schapbach,08237075,Bad Rippoldsau-Schapbach,Baden-Württemberg,Freudenstadt
Bad Sachsa,Bad Sachsa,03159004,Bad Sachsa,Niedersachsen,Göttingen
Bad Salzdetfurth,Bad Salzdetfurth,03254005,Bad Salzdetfurth,Niedersachsen,Hildesheim
Bad Salzuflen,Bad Salzuflen,05766008,Bad Salzuflen,Nordrhein-Westfalen,Lippe
Bad Sassendorf,Bad Sassendorf,05974008,Bad Sassendorf,Nordrhein-Westfalen,Soest
Bad Saulgau,Bad Saulgau,08437100,Bad Saulgau,Baden-Württemberg,Sigmaringen
"Bad Schmiedeberg (Wittenberg, Sachsen-Anhalt) [15091010]",Bad Schmiedeberg,15091010,Annaburg,Sachsen-Anhalt,Wittenberg
