year,caps,grid,nuts,val
2030,5,LV2,DE24B,1.8537938394821374e-05
2030,5,LV2,DE24C,1.1611277284193493e-05
2030,5,LV2,DE24D,1.4766979113848445e-05
2030,5,LV2,DE251,0.0
2030,5,LV2,DE252,1.7341804048632022e-05
2030,5,LV2,DE253,1.649221152629382e-05
2030,5,LV2,DE254,0.0
2030,5,LV2,DE255,3.3421544814582778e-06
2030,5,LV2,DE256,5.177358197652021e-05
2030,5,LV2,DE257,3.093814213405664e-05
2030,5,LV2,DE258,1.98388330015924e-05
2030,5,LV2,DE259,3.5769132033854074e-05
2030,5,LV2,DE25A,2.866604724821055e-05
2030,5,LV2,DE25B,2.0070498894902572e-05
2030,5,LV2,DE25C,2.50575878639807e-05
2030,5,LV2,DE261,0.0
2030,5,LV2,DE262,0.0
2030,5,LV2,DE263,1.793197586457762e-05
2030,5,LV2,DE264,4.381734649545275e-05
2030,5,LV2,DE265,2.404657186080814e-05
2030,5,LV2,DE266,2.6837254656874974e-05
2030,5,LV2,DE267,2.1956896778978945e-05
2030,5,LV2,DE268,2.4860761311742173e-05
2030,5,LV2,DE269,3.5998875340314254e-05
2030,5,LV2,DE26A,3.184892786297989e-05
2030,5,LV2,DE26B,3.107530445639345e-05
2030,5,LV2,DE26C,4.867415779622217e-05
2030,5,LV2,DE271,3.74579630538195e-05
2030,5,LV2,DE272,0.0
2030,5,LV2,DE273,0.0
2030,5,LV2,DE274,0.0
2030,5,LV2,DE275,2.2680385170166022e-05
2030,5,LV2,DE276,5.193770098251526e-05
2030,5,LV2,DE277,2.1410737287179137e-05
2030,5,LV2,DE278,2.966781613182052e-05
2030,5,LV2,DE279,2.1084095914117486e-05
2030,5,LV2,DE27A,1.9586606545388143e-05
2030,5,LV2,DE27B,3.8533302489449245e-05
2030,5,LV2,DE27C,3.9498745370248914e-05
2030,5,LV2,DE27D,3.174179655975062e-05
2030,5,LV2,DE27E,3.4360303062354004e-05
2030,5,LV2,DE300,2.0432416899227654e-06
2030,5,LV2,DE401,5.374044855399722e-06
2030,5,LV2,DE402,0.0
2030,5,LV2,DE403,0.0
2030,5,LV2,DE404,2.274311038422765e-05
2030,5,LV2,DE405,1.726141910949877e-05
2030,5,LV2,DE406,2.560549676258674e-05
2030,5,LV2,DE407,2.4941994320129353e-05
2030,5,LV2,DE408,1.7311012533754204e-05
2030,5,LV2,DE409,3.1484849503544615e-05
2030,5,LV2,DE40A,1.99834327167258e-05
2030,5,LV2,DE40B,1.3760747753984925e-05
2030,5,LV2,DE40C,3.2468436990082874e-05
2030,5,LV2,DE40D,1.550908568637181e-05
2030,5,LV2,DE40E,2.3494431377600577e-05
2030,5,LV2,DE40F,1.1204465686568935e-05
2030,5,LV2,DE40G,2.0259366325761667e-05
2030,5,LV2,DE40H,1.7704996042562995e-05
2030,5,LV2,DE40I,1.696419754300261e-05
2030,5,LV2,DE501,0.0
2030,5,LV2,DE502,1.249219507345083e-05
2030,5,LV2,DE600,6.12648446811659e-06
2030,5,LV2,DE711,2.076024817875486e-05
2030,5,LV2,DE712,0.0
2030,5,LV2,DE713,1.5626237535843326e-05
2030,5,LV2,DE714,5.244271305589748e-05
2030,5,LV2,DE715,3.10236888518406e-05
2030,5,LV2,DE716,3.899115619613102e-05
2030,5,LV2,DE717,2.051636720438392e-05
2030,5,LV2,DE718,2.368279496458178e-05
2030,5,LV2,DE719,4.286475091851283e-05
2030,5,LV2,DE71A,1.677726508565751e-05
2030,5,LV2,DE71B,1.6228949069866314e-05
2030,5,LV2,DE71C,1.0171159913897443e-05
2030,5,LV2,DE71D,2.6872722291284945e-05
2030,5,LV2,DE71E,3.0102435246637455e-05
2030,5,LV2,DE721,2.977343129653989e-05
2030,5,LV2,DE722,3.441889850785713e-05
2030,5,LV2,DE723,2.7937098686172502e-05
2030,5,LV2,DE724,2.9229806532687215e-05
2030,5,LV2,DE725,2.6211317469852944e-05
2030,5,LV2,DE731,2.414971656791452e-05
2030,5,LV2,DE732,3.601861482309524e-05
2030,5,LV2,DE733,2.483264413464586e-05
2030,5,LV2,DE734,4.2649138203421686e-05
2030,5,LV2,DE735,3.9505082414322e-05
2030,5,LV2,DE736,3.114448006240248e-05
2030,5,LV2,DE737,2.0750917100491746e-05
2030,5,LV2,DE803,2.149018814091695e-05
2030,5,LV2,DE804,0.0
2030,5,LV2,DE80J,3.398056757373592e-05
2030,5,LV2,DE80K,4.573636586780397e-05
2030,5,LV2,DE80L,3.8453367528034434e-05
2030,5,LV2,DE80M,3.120351016788157e-05
2030,5,LV2,DE80N,4.5411097027558794e-05
2030,5,LV2,DE80O,4.833613981865146e-05
2030,5,LV2,DE911,4.490550300609428e-05
2030,5,LV2,DE912,1.3143008946446127e-05
2030,5,LV2,DE913,6.763276878027744e-05
2030,5,LV2,DE914,2.6464305573257584e-05
2030,5,LV2,DE916,1.1273913018202014e-05
2030,5,LV2,DE917,1.657292473881426e-05
2030,5,LV2,DE918,1.345282282150841e-05
2030,5,LV2,DE91A,1.0874215426134015e-05
2030,5,LV2,DE91B,1.6645502434533324e-05
2030,5,LV2,DE91C,4.6899037339491124e-05
2030,5,LV2,DE922,3.251586770203146e-05
