flex,year,run,h,val
baseFlex,2030,NoFlexNoConstraints,h0434,41.0836
baseFlex,2030,NoFlexNoConstraints,h0435,66.275
baseFlex,2030,NoFlexNoConstraints,h0436,13.3274
baseFlex,2030,NoFlexNoConstraints,h0437,24.8965
baseFlex,2030,NoFlexNoConstraints,h0438,18.836
baseFlex,2030,NoFlexNoConstraints,h0439,94.488
baseFlex,2030,NoFlexNoConstraints,h0440,303.2877
baseFlex,2030,NoFlexNoConstraints,h0441,558.843
baseFlex,2030,NoFlexNoConstraints,h0442,782.6152
baseFlex,2030,NoFlexNoConstraints,h0443,1618.5147
baseFlex,2030,NoFlexNoConstraints,h0444,2735.4954
baseFlex,2030,NoFlexNoConstraints,h0445,3491.2466
baseFlex,2030,NoFlexNoConstraints,h0446,4352.8311
baseFlex,2030,NoFlexNoConstraints,h0447,5891.1976
baseFlex,2030,NoFlexNoConstraints,h0448,6339.4725
baseFlex,2030,NoFlexNoConstraints,h0449,9049.6998
baseFlex,2030,NoFlexNoConstraints,h0450,10961.8205
baseFlex,2030,NoFlexNoConstraints,h0451,11079.2693
baseFlex,2030,NoFlexNoConstraints,h0452,8385.3918
baseFlex,2030,NoFlexNoConstraints,h0453,4874.6749
baseFlex,2030,NoFlexNoConstraints,h0454,4128.2414
baseFlex,2030,NoFlexNoConstraints,h0455,3728.3742
baseFlex,2030,NoFlexNoConstraints,h0456,2296.8021
baseFlex,2030,NoFlexNoConstraints,h0457,41.0264
baseFlex,2030,NoFlexNoConstraints,h0458,87.7378
